,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP
0,520,2021-03-01 15:05:57,22.15,26.1404,22.488,22.5218,21.812,26.445,23.6712,20.9673,21.7444,24.5166,23.9079,23.164,22.7246,22.2514,26.9188,26.9865,26.6142,25.8359,25.3961,1.89827,2.11217,0.011422957249124878,0.007972474162529665,0.0051953930854797365,
1,521,2021-03-01 15:05:59,22.1838,26.1404,22.5556,22.5218,21.8458,26.4788,23.6712,20.9673,21.7444,24.5166,23.9079,23.164,22.7246,22.2852,26.9526,26.9865,26.6142,26.1404,25.3623,1.89827,0.534077,0.0029091439308079714,0.007824556208406967,0.005177612781524658,
2,522,2021-03-01 15:06:01,22.1838,26.1404,22.4542,22.5218,21.7782,26.5127,23.7726,20.9673,21.7782,24.5166,23.9417,23.164,22.7246,22.2514,26.9188,26.9526,26.6142,26.1404,25.3623,-0.463734,0.534077,0.0029090718513796678,-0.001965552430262422,0.0056388964653015135,
3,523,2021-03-01 15:06:02,22.1838,26.1404,22.488,22.5556,21.8796,26.445,23.705,21.0011,21.7106,24.5504,23.9755,23.164,22.7246,22.2514,26.8849,26.9865,26.6142,26.0728,25.3623,-0.463734,-0.25497,-0.0013888979758658268,-0.0019475296229967095,0.005951069831848145,
4,524,2021-03-01 15:06:04,22.1838,26.1404,22.5218,22.5556,21.7782,26.445,23.6712,20.9673,21.7444,24.5166,23.8741,23.164,22.7246,22.2852,26.9188,26.9865,26.5803,26.0051,25.3961,-0.463734,1.32313,0.007155701210146247,-0.0019295068157309972,0.005126299858093262,
5,525,2021-03-01 15:06:06,22.1838,26.1404,22.488,22.488,21.7782,26.4788,23.705,20.9673,21.7106,24.5166,23.9079,23.1979,22.7246,22.2852,26.8849,26.9526,26.6142,25.9036,25.3961,1.89827,1.32313,0.007258941445043483,0.007972106978237446,0.00583895206451416,
6,526,2021-03-01 15:06:07,22.1838,26.1404,22.5218,22.488,21.8796,26.4788,23.6712,20.9673,21.7444,24.5166,23.9079,23.164,22.7246,22.2852,26.9188,26.9526,26.5803,26.0389,25.3284,-5.18774,1.32313,0.007207154790732329,-0.021585175312227103,0.005730587482452393,
7,528,2021-03-01 15:06:11,22.15,26.1066,22.5218,22.488,21.8796,26.4788,23.6712,20.9673,21.7444,24.5166,23.9417,23.1979,22.7246,22.2514,26.8849,26.9526,26.6142,25.8021,25.3961,-0.463734,-1.04402,-0.005686828765593983,-0.0019115720487919705,0.005270981788635254,
8,529,2021-03-01 15:06:13,22.1838,26.1404,22.488,22.5218,21.812,26.445,23.6374,20.9673,21.7444,24.4828,23.9755,23.164,22.7246,22.2514,26.9188,26.9188,26.6142,26.0728,25.3623,-0.463734,-0.25497,-0.001378919031048339,-0.0019475296229967095,0.005131950855255127,
9,530,2021-03-01 15:06:14,22.1838,26.1404,22.5556,22.5218,21.8796,26.4788,23.705,20.9673,21.7106,24.5166,23.9079,23.1979,22.7246,22.2514,26.9188,26.9865,26.6142,26.1404,25.3623,1.89827,0.534077,0.0029300474406479247,0.007824556208406967,0.004720232963562012,
