,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp
0,1959,2021-03-16 08:58:07,21.981,26.9526,23.6036,20.1565,22.9274,26.1066,24.449,18.063,22.826,25.2269,25.1931,24.4152,23.6036,22.995,25.3623,25.6667,25.6667,25.5991,25.3284,984.492,1.32313,0.004986679602755223,3.792137427583578,1.3337611083984375,2.8431932488480522,nan,0.0005555555555555556
1,1962,2021-03-16 08:58:12,22.0148,26.9526,23.6712,20.1565,22.7922,26.1066,24.4152,18.0967,22.826,25.1931,25.2269,24.4828,23.6036,22.9612,25.4299,25.7344,25.6667,25.5652,25.3623,984.492,2.90122,0.010934265413909072,3.715421758904772,1.3280452880859375,3.2784839129306564,nan,0.001388888888888889
2,1963,2021-03-16 08:58:13,21.9472,26.9526,23.6374,20.1565,22.7922,26.1404,24.449,18.0292,22.8598,25.1931,25.2608,24.4828,23.6036,22.995,25.4299,25.6667,25.7006,25.3623,25.3284,986.854,1.32313,0.004986448627710425,3.7630443479579765,1.3281796875,2.81348278667037,nan,0.0002777777777777778
3,1965,2021-03-16 08:58:17,22.0148,26.9865,23.6374,20.1565,22.8936,26.1066,24.449,18.0292,22.7922,25.1931,25.2269,24.5504,23.705,22.995,25.2946,25.7006,25.7006,25.5991,25.3961,991.578,1.32313,0.005038290629538583,3.819370178360996,1.32802978515625,3.0917498709722917,nan,0.0011111111111111111
4,1966,2021-03-16 08:58:19,21.981,26.9865,23.6712,20.1227,22.7922,26.1066,24.5504,18.063,22.7922,25.2269,25.2608,24.5504,23.705,23.0288,25.4637,25.7344,25.6667,25.3623,25.4299,984.492,2.11217,0.008042842592181047,3.753978266248981,1.327228515625,2.8335803647372324,nan,0.0005555555555555556
5,1968,2021-03-16 08:58:22,21.981,26.9865,23.705,20.1227,22.8598,26.0728,24.4152,18.0292,22.7922,25.2269,25.2608,24.5843,23.7388,22.995,25.3623,25.6667,25.7006,25.4299,25.4299,984.492,2.11217,0.007960822292996966,3.715705872981641,1.325376708984375,3.00466403024831,nan,0.0008333333333333334
6,1969,2021-03-16 08:58:24,21.9472,27.0203,23.6712,20.1227,22.8598,26.0728,24.3813,17.9955,22.8598,25.2269,25.2608,24.6519,23.7726,22.9612,25.3623,25.6667,25.7006,25.4637,25.4637,984.492,2.90122,0.01070845806443811,3.792425025108962,1.33016943359375,2.8301495461439914,nan,0.0005555555555555556
7,1971,2021-03-16 08:58:27,21.981,27.0542,23.7388,20.089,22.7922,26.1066,24.3475,17.9955,22.995,25.2269,25.2608,24.6181,23.8741,22.995,25.4299,25.7344,25.7344,25.6329,25.4637,982.13,1.32313,0.004728695073190678,3.7450846559537485,1.332461181640625,2.704254342336221,nan,0.0008333333333333334
8,1973,2021-03-16 08:58:31,21.981,27.1219,23.7726,20.0552,22.9274,26.1066,24.2122,17.928,23.2317,25.2269,25.2946,24.6519,23.9755,22.995,25.4637,25.7682,25.7682,25.6667,25.4976,984.492,1.32313,0.004367562215168524,3.792477123381808,1.332510009765625,2.943830098454878,nan,0.0011111111111111111
9,1974,2021-03-16 08:58:32,21.9472,27.1557,23.8403,20.0552,22.9274,26.0728,24.1784,17.9955,23.4007,25.2608,25.2608,24.7196,23.9755,22.995,25.4637,25.7682,25.7682,25.4637,25.4976,984.492,1.32313,0.0040585237203634,3.7542641092371842,1.3330927734375,2.728483768230515,nan,0.0002777777777777778
10,1977,2021-03-16 08:58:37,21.9472,27.2573,24.1108,20.0552,22.7922,26.1066,24.1784,17.9617,23.7388,25.2946,25.2946,24.7534,24.1108,23.0288,25.5314,25.8021,25.8021,25.6329,25.4637,984.492,1.32313,0.003594661222142449,3.5630065813219516,1.3366617431640626,2.8042591775292816,nan,0.001388888888888889
11,1978,2021-03-16 08:58:39,21.9472,27.3588,24.1446,20.0214,22.7922,26.0389,24.0432,17.8604,23.7726,25.2946,25.2946,24.7534,24.1108,23.0288,25.5652,25.8359,25.8359,25.5652,25.4976,984.492,0.534077,0.0013887096085076704,3.6396681244827622,1.335268310546875,2.799628691437894,nan,0.0005555555555555556
12,1980,2021-03-16 08:58:43,21.9472,27.4604,24.2461,20.0552,22.826,26.0389,23.9755,17.8942,23.8741,25.2946,25.2946,24.7534,24.1784,23.0288,25.5991,25.8697,25.8359,25.6329,25.5314,984.492,1.32313,0.00328586385468653,3.6397813616218513,1.335245849609375,2.867523533413941,nan,0.0011111111111111111
13,1982,2021-03-16 08:58:46,21.9134,27.5281,24.3813,20.0214,22.7584,26.0728,23.9755,17.8267,23.9079,25.3284,25.3284,24.821,24.2461,23.0626,25.5652,25.8697,25.8359,25.4637,25.5314,984.492,1.32313,0.003285862122917446,3.563510086315439,1.3330430908203126,2.7832706293901692,nan,0.0008333333333333334
14,1984,2021-03-16 08:58:49,21.9472,27.5619,24.449,19.9876,22.7922,26.0728,23.8741,17.8604,23.7726,25.2946,25.2946,24.7872,24.2461,23.0626,25.6329,25.9374,25.8697,25.4299,25.5652,984.492,-0.25497,-0.0006728912007893003,3.524958902589259,1.3312862548828126,2.774033911936223,nan,0.0008333333333333334
15,1985,2021-03-16 08:58:51,21.9134,27.5958,24.4828,20.0214,22.826,26.0728,23.8403,17.8942,23.8403,25.3284,25.2946,24.821,24.3137,23.0964,25.6329,25.9036,25.8697,25.7006,25.5652,984.492,1.32313,0.0033887812686571425,3.5252341739862603,1.3325013427734376,2.709500640104627,nan,0.0005555555555555556
16,1988,2021-03-16 08:58:56,21.8796,27.6635,24.449,19.9876,22.8598,26.0051,23.9079,17.8604,23.7726,25.3284,25.3284,24.821,24.3475,23.0964,25.5652,25.9036,25.9036,25.7682,25.6329,984.492,43.1427,0.11050678771991941,3.6403424302625615,1.3245583496093751,2.7661596917861764,0.00033480718760925984,0.001388888888888889
17,1989,2021-03-16 08:58:58,21.9134,27.6635,24.5166,19.9876,22.8598,25.9712,23.9079,17.7929,23.7726,25.2946,25.2946,24.8548,24.4152,23.0964,25.7006,25.9374,25.9036,25.5652,25.5991,984.492,61.2908,0.154607899461834,3.563623328659608,1.3235172119140626,2.7633964498115775,0.000466202241008542,0.0005555555555555556
18,1991,2021-03-16 08:59:01,21.9134,27.6973,24.5166,19.9876,22.8598,25.9712,24.0432,17.7592,23.7726,25.3623,25.3284,24.8887,24.449,23.1302,25.6329,25.9374,25.9712,25.4976,25.5991,986.854,73.9155,0.1864540876064791,3.6105409425030865,1.31110888671875,2.762889786503726,0.0007038920183373081,0.0008333333333333334
19,1992,2021-03-16 08:59:03,21.8458,27.7312,24.4828,19.9539,22.826,25.9712,24.0432,17.8267,23.7388,25.3284,25.3284,24.8548,24.449,23.0964,25.6329,25.9374,26.0051,25.7344,25.5991,984.492,82.595,0.2115612894203992,3.678902349138353,1.306787109375,2.7646642866045528,0.0008625656402889095,0.0005555555555555556
20,1994,2021-03-16 08:59:07,21.8796,27.765,24.2122,19.9201,22.8598,25.9712,24.0093,17.7254,23.5359,25.3623,25.3284,24.8887,24.5166,23.1302,25.6667,26.0051,26.0389,25.5991,25.5991,986.854,89.6965,0.2507032415520134,4.03311199544732,1.30347900390625,2.8303715838080863,0.0011180860548977896,0.0011111111111111111
21,1996,2021-03-16 08:59:10,21.8796,27.765,24.1108,19.9539,22.826,25.9712,24.1108,17.6917,23.3669,25.3284,25.3284,24.9225,24.5504,23.164,25.7006,26.0051,26.0389,25.7682,25.6329,979.768,96.0089,0.28703547583861977,4.11843466183088,1.2957164306640625,2.8035154509542286,0.0012950972533120023,0.0008333333333333334
22,1998,2021-03-16 08:59:14,21.9134,27.7989,23.9755,19.8863,22.8936,26.0051,24.0432,17.6579,23.0964,25.3623,25.3623,24.9225,24.6519,23.164,25.7006,26.0728,26.0389,25.5991,25.6329,979.768,98.376,0.3286114341914293,4.308932057363785,1.3008736572265625,2.915508256035546,0.0014996736757092032,0.0011111111111111111
23,1999,2021-03-16 08:59:15,21.8796,27.8327,24.0093,19.9539,22.7584,25.9712,24.0432,17.6917,23.0288,25.3961,25.3623,24.9225,24.6519,23.164,25.6667,26.0728,26.0389,25.7006,25.6329,991.578,100.743,0.3404485408939708,4.361071776457999,1.3032890625,2.8001915611469914,0.0015459711533614127,0.0002777777777777778
24,2001,2021-03-16 08:59:19,21.8796,27.8666,23.9755,19.8863,22.8598,26.0051,24.0432,17.6917,22.9274,25.3961,25.3961,24.9563,24.6519,23.1979,25.6667,26.0728,26.0728,25.9036,25.5991,989.216,103.899,0.36731017125930915,4.427719911916565,1.301072021484375,2.869466545473685,0.0018628263982905912,0.0011111111111111111
