,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ
0,2080,2021-04-09 13:31:11,22.15,32.7113,29.8307,18.333,22.2514,33.1182,24.0432,17.6579,25.9374,33.6608,33.2199,32.4401,31.6605,27.1557,33.6947,33.8982,33.7964,33.6608,33.7286,719.947,1.32313,0.010756184504506664,2.3847358732216,0.26753744506835936,8.91366754214034,0.00231344386769894,0.0005555555555555556,4.4984685941844,114.00624540903063,-23.264501071870505,52919.51436452805
1,2083,2021-04-09 13:31:16,22.1162,31.5927,30.4744,18.063,22.2176,33.1182,23.9417,18.198,25.9374,33.4234,33.2538,32.4062,31.7622,27.088,33.7964,33.9321,33.7964,33.6947,33.7286,901.822,-0.25497,-0.0020727399145315,1.1597274841229042,0.26646124267578125,4.952624923638942,0.0019561847015806886,0.001388888888888889,-51.60811921511849,-1283.4228480978704,124.16994987157236,52914.14557863326
2,2086,2021-04-09 13:31:21,22.1162,30.881,30.881,17.928,22.2852,33.1521,23.9755,18.0292,25.9712,33.559,33.2538,32.4401,31.6944,27.1219,33.7286,33.8982,33.7286,33.7964,33.7625,960.872,2.90122,0.0235841739311178,0.0,0.26424526977539065,3.3120355165937663,0.003221634038520111,0.001388888888888889,-89.01763982984599,-2204.4823573430003,212.56392988415703,52929.851759460245
3,2089,2021-04-09 13:31:26,22.15,30.7455,31.2538,17.8604,22.2852,33.1521,23.9417,17.8604,25.9712,33.4912,33.2538,32.474,31.7622,27.088,33.7286,33.7625,33.593,33.7964,33.7286,984.492,0.534077,0.004341540752031767,-0.5754254992342244,0.26203982543945314,1.6147144211676105,0.0054450285202878946,0.001388888888888889,-94.66592667046027,-2281.834083921353,302.13441763379257,52882.95736245363
4,2091,2021-04-09 13:31:29,22.1162,30.7455,31.3555,17.7929,22.319,33.1521,23.9417,17.7929,25.9374,33.4912,33.2538,32.5079,31.7622,27.1219,33.7625,33.7625,33.4912,33.593,33.7286,991.578,1.32313,0.01080642195115619,-0.6955582665599463,0.2611627197265625,0.9649767190946728,0.0064306448354029015,0.0008333333333333334,-93.74114163231084,-2401.5206118760666,436.37255200139265,52851.82980483971
5,2094,2021-04-09 13:31:35,22.1162,30.7794,31.5927,17.7592,22.2514,33.1521,23.9079,17.7592,25.9374,33.7286,33.3217,32.5079,31.7622,27.1557,33.559,33.6269,33.4234,33.4912,33.6947,998.664,1.32313,0.01080642195115619,-0.9340001927085322,0.26136688232421873,4.460921142686674e-05,0.009331463375609332,0.0016666666666666668,-91.02928531052777,-2328.387074392508,-116627.9659675588,52820.694235452924
6,2096,2021-04-09 13:31:38,22.15,30.8471,31.6605,17.7254,22.2852,33.1521,23.9755,17.6579,25.9712,33.6608,33.3217,32.474,31.83,27.088,33.593,33.559,33.3556,33.4912,33.7286,996.302,1.32313,0.010755795166681566,-0.9318627940878245,0.2608330078125,-0.342670644346648,0.011526501205792457,0.0008333333333333334,-86.58744077967506,-2165.470228880956,-777.5335621705333,52794.48304668018
7,2100,2021-04-09 13:31:45,22.1162,30.9827,31.8638,17.6917,22.319,33.1521,23.9079,17.5904,25.9036,33.7286,33.3217,32.5079,31.8638,27.1557,33.3895,33.5251,33.3217,33.4234,33.6608,993.94,1.32313,0.010857048735630816,-1.0070758203469186,0.2586425476074219,-1.0417174653921397,0.014199378347380947,0.0019444444444444444,-78.60308489403836,-1941.2080769915165,-198.23370846343562,52763.44045142451
8,2103,2021-04-09 13:31:50,22.15,31.0505,31.9316,17.6242,22.1838,33.1521,23.9079,17.6242,25.9374,33.593,33.3895,32.474,31.9316,27.1557,33.4234,33.4912,33.2538,33.3895,33.6269,1001.03,1.32313,0.01080642195115619,-1.0142128212553074,0.36659094238281253,-1.2803211847182228,0.016413131903675587,0.001388888888888889,-74.26383831704439,-1836.3130020594365,-123.48623091935575,52737.42593162883
9,2106,2021-04-09 13:31:55,22.15,31.1182,31.9994,17.5904,22.1838,33.1182,23.8741,17.5567,25.9374,33.3895,33.4234,32.5418,32.0333,27.2234,33.4912,33.3556,33.2199,33.2878,33.593,993.94,1.32313,0.010756184504506664,-1.0071437435232766,0.5616527099609375,-1.3799338966768289,0.017741593672417136,0.001388888888888889,-70.03587370017624,-1719.2088631084878,-86.16550607968611,52711.66453978668
